Sentence	Characters	Bytes
共同体还帮助确保区域稳定。	13	39
B. 侵害平民的暴力行为	11	29
(b) 进一步支持环境署、各多边环境协定及其秘书处、科学机构以及全球、区域和国家利益攸关方之间的协作和合作，且进一步支持这些机构之间的协作和合作，以加强多边环境协定的执行、遵守和实施，增进它们之间的协同作用，且加强联合国系统在开展环境活动方面的协调	123	363
我刚刚看到你可能睡着了 我说 "说你呢...	20	52
基准将确定各项成果指标、具体的绩效指标（计量单位）以及将在哪一级开始测量。	37	111
新近组建的东帝汶国防军被重新命名为东帝汶民族解放武装部队 -- -- 东帝汶国防军，以求把未来的国防军同革阵历史及1987年夏纳纳·古斯芒把东帝汶民族解放武装部队从革阵中撤出造成的结果联系起来。	94	265
换做你会放哪	6	18
你觉得我会死	6	18
此外，各国应采取 " 坚决步骤，消除大规模公然侵犯受到下列情况影响的各国人民和个人人权的现象，这些情况是由于种族隔离.种族歧视、殖民主义、外国统治.等造成的。 " (第5条)。	84	238
萨尔瓦多、墨西哥、巴拿马和土耳其的银行也使用汇款作为在市场筹措外资的基础。	37	111
㈢ 贸发会议现正定期和及时向日内瓦办事处发送项目清单,让财政资源管理处核查付款文件中所载的项目参照编号;	51	149
在以本国货币认捐的政府中，超过80％将它们的捐款保持在2000年的同样水平上，12国政府增加了它们的捐款7％或以上。	58	156
怎不开枪?	5	13
29. 水资源的合理使用、保护以及预防水的损害的必要性在瑞士联邦1999年《联邦宪法》第76条中有明文规定。	53	141
经常资源首次少于收入的半数（47％）。	19	53
- 谁发现她的?	7	17
39. 会议确认，中亚国家在全球机制、亚洲开发银行和各发展合作伙伴协助下共同为启动题为 " 中亚国家土地管理倡议 " 的全球环境基金多国方案编制伙伴关系开展的工作，为指导其他区域的行动提供了一个成功典范。	97	281
所有国家也都必须遵守联合国安全理事会规定的有约束力的反恐义务。	31	93
66. 关于第五十届分期会议，他忆及，这一倡议的目的是减轻第二部分会议期间对特别报告员的压力，并促进评注的通过，评注通常是以匆忙甚至即兴的方式进行的。	74	216
不要忘记给他做早餐	9	27
教师部署的不公平型态	10	30
我不认为自己对蜜蜂过敏之类的	14	42
" 9. 还敦促各国政府强烈鼓励所有利益攸关方，特别是包括参与雇用移徙女工的雇佣机构在内的私营部门，更加注重并更大力资助预防暴力侵害移徙妇女的工作，尤其是促进妇女获得有意义的、对性别问题有敏感认识的信息和教育，除其他外了解移徙的代价与好处、她们在原籍国和就业所在国应享有的权利和福利、就业所在国的总体条件、合法移徙的程序，并且确保适用于征聘者、雇主和中介人的法律和政策能促进遵守和尊重移徙工人的人权，特别是女工的人权；	207	615
这种下降严重影响了就业前景。	14	42
制定计划解决妇女和女童一生中罹患非传染性疾病的主要风险因素；	30	90
一个可能的解释是 这个问题一直得不到 重视，直到最近。	25	75
如果你们三天内没回来 如果你们三天内没回来 我就会派联邦法警追捕你们 懂了吗？	36	108
李维正好有空	6	18
4. 国际人口方案管理理事会	13	35
你在这儿不是干得挺好	10	30
亚 玛 谢 行 耶 和 华 眼 中 看 为 正 的 事 、 只 是 心 不 专 诚	21	63
即便缔约国讯问那些人，申诉人也认为他们使用的方法不合理，因为询问证人的地方就是他们曾经被拘押和受害人曾经遭到酷刑地方，而且是在已向委员会提出申诉之后。	75	225
获取原始文本( 不换行) (O)	14	32
订约承办事务 -- -- 持续支持	14	34
没关系 这不是我第一次掉裤子了 也不会是最后一次	22	66
7. 2005年2月，第二个十年的协调员邀请各国、联合国系统和其他政府间组织、土著组织和非政府组织为起草第二个十年行动纲领提供意见。	65	181
我就要禁止旁听了	8	24
天哪，康纳	5	15
至少没击毁我们的油库	10	30
小组委员会强调，天基系统和国际空间合作通过提供准确、及时的信息和通信支持能够在支助灾害管理方面发挥重要作用。	54	162
* 流动巡逻101 040人日（包括每次巡逻2人x每天巡逻138次x365天和与联合国警察联合巡逻300天）	52	118
它也减少冷水性鱼类的补获量。	14	42
五月份 我们还缺少500个人执行品牌计划	19	51
我会护着他的	6	18
接着车子把她送走了 之后我再也没见到她	18	54
经验告诉我 授职之后就会成为朋友	15	45
谢尔盖·奥尔忠尼启则秘书长一如既往，给我们以指导。	25	74
这些问题需要定量估计数。	12	36
与此同时，军法检察官已命令宪兵对以色列火力上个月在杰宁造成三名巴勒斯坦儿童和一名成人死亡之事进行调查。	51	153
我无法适应	5	15
我是以使者的身份来的 安托摩凯	14	42
小组还提出了旨在改进警察工作和各政党加强问责的建议。	26	78
由于会议次数较多，能力有限，难以做到及时翻译，因此出现了大量积压。	33	99
真主党还声称其武器可用于遏制以色列可能发动的侵略。	25	75
作为欧洲安全与合作组织（欧安组织）的成员，波斯尼亚和黑塞哥维那接受赫尔辛基最后文件的各项原则，并在促进和保护人权领域与欧安组织充分合作。	68	204
1.1.1乍得东部难民营和境内流离失所者停留地、主要城镇和城镇之间人道主义物资主要运输线的犯罪事件与2008/09年期间相比减少10%	67	171
你有没有注意到 她们什么时候会出来？	17	51
认识到小农户和边际型农户的利益、土著人民的权利以及传统知识和做法，在此方面联系到适用的国际义务并考虑到国家法律和国情，	59	177
阿尔及利亚对社会发展进行了大量投资，极大地提高了人均国内生产总值，将贫穷率减半并降低了失业率。	47	141
我的儿子...	7	15
56. Diène先生对种族主义抬头表示关切，并建议将认同概念纳入纲领。	35	90
你已经连续两天不使用她的身体了	15	45
各代表团注意到行政和预算问题咨询委员会（行预咨委员会）对新员额和职位改叙所作的评论，表示就人口基金交付方案而言，员额增加似乎是合理的。	67	201
不包括这个.	6	16
驻巴格达的财产管理科科长(P-4)负责该科的日常监督和提供专家咨询，由1名财产管理干事(外勤事务)和1名固定资产管理干事(外勤事务)提供支助。	71	191
我认为这个国家应该 继续它的辩论。 还有关于“我有权利”“你是受害者”的抱怨。	37	111
在能够进入电子研究系统的各移民管制边境点都可以得到输入的资料，并用来防止被安全理事会措施禁止的人员入境。	52	156
卡尼亚韦拉尔德莱翁	9	27
要设立综合安全与发展的适当机制, " 海地之友 " 同其它主要双边及多边捐助者就必须继续在太子港和纽约开展工作。	52	150
因此，国家建立了社会保障体系，在该体系内，公共卫生补助金具有普遍性质，全国人口无一例外均可享受公共卫生补助金。	55	165
20. 进行内部改革以提高贸发会议的总执行量和使研究和政策分析具有连贯性是贸发会议管理部门应当做的事。	50	144
所以他才声称他们不是劳勃的孩子	15	45
我之前也不是没爱过	9	27
天啊... 有钱人	8	18
40. 委员会注意到已采取行动，将继续监测事态发展。	25	69
我累了 我离家很远	8	24
委员会重申其建议，缔约国应审查其有关诉讼实现的规定，使之与《公约》义务保持完全一致，以便能够对侵犯人权行为开展调查，并根据所犯侵犯人权行为的严重性质对负有责任者予以起诉和惩罚(见委员会关于《公约》缔约国所承担的一般法律义务的第31号一般性意见，第18段)。	128	372
但这就是他们的弱点	9	27
E. 通过议程和工作安排	11	29
257. 在难民署协助下，于1998年11月在加德满都举行了南亚区域第四届难民和迁移问题协商会议。	48	124
我以前多半驻扎在科学舰和前哨基地 所以很开心能来到这里	26	78
1409. 《人权法》规定，工会不得由于其中列举的原因而排除任何人的会籍或开除或中止任何成员或歧视任何人。	52	146
据说他被转到汉城拘留中心以后，在30天内每天受到长时间的讯问和威胁。	34	98
我这就下来	5	15
伊姆兰摩加利亚是你的眼线？	13	39
347. Deutz Service称，它在1986年，德国和伊拉克政府达成如下协议：欠给某些德国承包商的款项(包括按照建筑合同所欠的款项)就受一项协议的约束，按照该协议，德国银行例如Société Générale将接受伊拉克石油的销售款。	118	284
70. 特别委员会还决定邀请联合国各机关和机构将它们在执行大会第55/146号决议方面所采取的行动通知秘书长，并向大会第六十三届会议提出报告，但必须遵照大会第六十二届会议在这方面可能发出的任何指示（见A/AC.109/ 2007/L.14，第13段）。	124	314
人权高专办参与全球保护专题工作组的规划进程，最终通过了2012-2014年战略框架，其中非常强调人权。	51	135
一支由16名视察员组成的视察队于上午9时5分离开Qasr Niniwa旅馆，并于上午9时35分到达军事工业局下属国营企业Jaber bin Hayane的场址。	77	169
难民署近90％的活动均采用或起草了性暴力和基于性别的暴力标准作业程序，其中确保确立并保持有效预防和应对的制度。	55	161
这些儿童占加沙地带150万巴勒斯坦人的一半以上，除其他外，由于目睹和持续承受下列结果，在心理上继续遭受创伤和影响：	57	165
当你设计汽车时 ， 请你考虑一下那些在售后车库修理汽车的工人的需求那些在售后车库修理汽车的工人的需求	48	144
赞成的人喊"好"	8	20
可持续发展问题世界首脑会议的另一重点是与非洲城市供水方案有关的活动。 捐助者和非洲政府也针对该方案宣布成立新伙伴关系。	58	174
临时议程＊项目5和14	11	27
在这些事项中涉及对与总部以及与若干维持和平特派团、海外办事处和各机构，包括联刚特派团、项目厅(内罗毕)、联合国内罗毕和日内瓦办事处、联合国海地稳定特派团、联合国布隆迪综合办事处、卢旺达问题国际刑事法庭、联合国苏丹特派团和联合国利比里亚特派团有业务关系的供应商进行的调查。	135	401
她将在共和政体的指挥下作一场精彩的表演	19	57
-你不知道我的尺码	9	25
毫无疑问，他遭受了这么少。	13	39
就像《撞车》中的马特. 狄龙	13	37
至关重要的是即将进驻的部队应拥有自我维持的能力和设备，使其能够巡逻并有效开展行动。	41	123
别挡道，今晚你能看见她	11	33
波粒二元性	5	15
但她肯定是受伤了	8	24
蒙达赖恩·埃尔南德斯先生(委内瑞拉玻利瓦尔共和国)(以西班牙语发言)：请允许我问候并欢迎古巴外交部副部长阿韦拉多·莫雷诺·费尔南德斯先生加入最近访问本论坛的其他要人行列，为裁谈会带来一些政治动力。	98	283
让我们来看看...	9	21
阿尔及利亚足球协会	9	27
- 把说明倒过来给我们	10	28
因为我们的友情—— 女性友情往上就是我们的闺蜜情感， 闺蜜感情有非常强大的力量奉献给世界—— 使之变成本应该发展成的样子—— 变成人类真正需要的样子。	71	213
第1(3)款规定对原先的立法作出重要的补充，第14条规定： " 如果亚美尼亚共和国国家安全因为这种出口可能受到威胁，或者如果存在这种威胁，则不会批准出口。 " 第14条第2款规定撤销原先给予批准的条件。	97	269
抓狂了 因为他以后都看不见...	15	39
也许是时候	5	15
10. 安全和安保部的任务是负责与机构间安保管理网一起拟订适用于联合国系统所有组织的关于使用私家武装安保公司的适当政策和导则。	62	180
从史学角度来说，都是虚构的	13	39
首先是发展与冲突之间的关系问题以发展中国家维持和平的必要性。	30	90
联邦院就宪法解释做出的终审裁决，这适用于将来可能出现的类似宪法问题；	34	102
必须的，而且我们还希望 能够在船上为客人	19	57
发展与人道主义挑战	9	27
噢，非常明白，对此我相当确信	14	42
你们放火烧城，我也不管	11	33
如果由于缺乏政治意愿，20国集团无法避免二次衰退危机，那么，危机最终将迫使20国集团采取行动，但到那个时候，它给我们所有人带来的人的代价将会大得多。	74	214
必须推定，国家应对其作为或不作为以及未能保护在押人员权利的行为作出解释。	36	108
客人的名单和请柬样本应早在宴会之前提交警卫和安全事务处处长(C-110B室)。	39	101
-我们去你办公室谈吧？	11	31
3. 儿童基金会本两年期的支出共计51.04亿美元，其中包括经常资源中用于方案合作的费用15.75亿美元，来自其他资源（经常）的方案合作费用19.94亿美元，以及来自其他资源（紧急）的13.65亿美元。	100	256
42. 行预咨委会注意到，预计办公室需求可能在很大程度上取决于用于估计员工的增长和每个人的空间限度的系数，以及实施的替代工作场所政策。	66	192
16. 会议闭幕:执行主任和执行局主席的发言	21	55
因为我正找它呢	7	21
执行发展议程的战略，要求有一个建立在法治基础上的透明、问责和广泛参与的治理制度。	40	120
个人的宗教信仰并不影响享受公民权利和自由。 "	22	64
学校禁止使用手机了	9	27
-因为他帅气的外貌与才干	12	34
未收到这两个非洲国家政府的答复。	16	48
这是有史以来的第一届 如果未来的历史学家	19	57
没事的 会给你注射吗啡 哥们	12	36
他将像他父亲一样，娶一个 德鲁 -苏比斯家族的人	22	64
㈠ 办公室和会议设施：查验进出联合国房地人员、车辆和包裹，没收过期通行证，用金属探索器搜查暗藏武器；为会议、招待会和特别活动提供警卫，执行警卫培训方案，操作和维修总部和秘书长官邸的电子监视和闭路电视警卫系统，升降联合国会员国的国旗；	115	345
如果一并将路况考量进去 往返要两小时又十分钟	21	63
这里是宇宙美男	7	21
他们更进一步，	7	21
我 在 急 难 中 求 告 耶 和 华 、 向 我 的 神 呼 求 ． 他 从 殿 中 听 了 我 的 声 音 、 我 在 他 面 前 的 呼 求 入 了 他 的 耳 中	43	129
这种新的体制发展严格地平衡了起诉工作的独立性与起诉工作的问责制和透明度两者之间的关系。	43	129
在根据《1993年海牙收养公约》确认收养儿童是为了取得荷兰国籍的《荷兰国籍法》现行条款的基础上现在对这些条款增加了类似规定，对因海外收养但未根据《海牙收养公约》而取得荷兰国籍做出了规定。	93	271
我会再次领养	6	18
比预期更好 但你来不是为了关心我的健康吧	19	57
你不看着他们死 就不算失去他们 杰米	16	48
但是，改革后的安理会必须承认较大国家和新兴国家的正当愿望的同时，也必须更好地为小国服务。	44	132
运输和调度处	6	18
我们高兴地看到，其他国家也在推动和探讨中间性模式，我们将乐于看到能够导致出现一种单一的中间模式的进程。	51	153
-莉丝？  -你想怎样？	10	26
杀了我吧 你个不知感恩的臭小子	14	42
本节介绍这些不同的办法，并结合现代担保交易制度指出每一种办法的优缺点。	35	105
作为部门主管，塔鲁尔先生：	13	39
她被小偷偷了钱财 还差点和姜凯帮扯上关系	19	57
要预测新的地方和区域趋势，就要评估冲突、占领和紧张政治局势的动态。	33	99
科学界成员参与的专项培训帮助政府代表了解气候变化的科学基础。	30	90
你为什么闷闷不乐？	9	27
你以为是我故意害他吗？	11	33
(14) 委员会感到关切的是，在缔约国领土上针对罗姆人的种族主义表现和种族暴力增加了。	42	118
中级职业培训	6	18
此外，东欧国家集团尚有1个待填补的空缺，填补这些空缺的成员的任期自当选之日开始，至2008年委员会第四十六届会议闭幕期满。	61	173
所以你把机器人带来这里	11	33
我是警探 别忘了	7	21
例如，如果检察官以诉讼时效限制禁止起诉刑事罪行为理由，终止诉讼，可以启动强迫受公众监管的诉讼程序；或者如果法庭以罪行的诉讼时效已过期为理由，宣判罪犯无罪释放，可以提出上诉。	86	258
G. 用于确定危险废物非法贩运犯罪活动要素的指导概要	25	71
2. 司法权	5	11
那就是我说过的世界主义	11	33
回头给你们买酒一百人份的	12	36
你这样的人居然会遗漏那么关键的线索	17	51
缺失的像素是拍摄视频的录像机造成的	17	51
2009年2月环境署理事会/全球部长级环境论坛第二十五届会议中关于绿色经济的小组讨论和讨论报告	47	129
此外，一国国民不是或不可能同时是外国人，因此驱逐本国国民的法律制度不属于驱逐外国人专题的范围。	47	141
委员会顽固地、蓄意地罔顾事实，不理会这些绑架案件，而其中不止一起案件的受害者是联合国维和部队成员。	49	147
若缺乏全球行动，相关对策将无法实现理想的效果。	23	69
我在伦敦有一间工作室专门用来设计建筑	18	54
地震波用了60秒的时间传到250公里之外的马那瓜 （ 尼加拉瓜共和国首都 ） 。	36	98
-这只是个该死的问题	10	28
- 我们正在等弗朗西丝卡的未婚夫	15	43
法官、检察官、副检察官、书记官长和法院官员的特权和豁免	27	81
132. 认识到需要尽可能以最佳方式将评价与实现发展目标方面的绩效联系起来，并鼓励联合国发展系统加强评价活动，特别侧重发展结果，包括通过有效利用联合国发展援助框架的成果总表，在全系统范围内系统利用监测和评价办法，并促进对评价采取合作方式，包括开展联合评价；	127	373
红色那个是什么？	8	24
别说你会想我	6	18
此外，林业发展局和利益攸关方对社会协议模板进行了更新，以确保透明度和问责制，这大大缓解了紧张局势，为伐木公司提供了继续作业的空间，并使社会协议得以修订，其中大多数已经过期	85	255
西尔维乌 我们得谈谈	9	27
苏丹达尔福尔持续不断的暴力行为》中明确指出:	22	64
你知道我今天不在 所以特意今天来的吗？	18	54
如果无限是最大的数 那当你加1的时候 那应该还是无限 也许是吧？	29	85
设立该办公室的主要目的是提供政策选择，协调和监督科索沃特派团各支柱部门和联合临时行政结构各部门的发展。	51	153
该论坛使非洲股票交易所的参与者有机会与纽约股票交易所的会员和杰出的商界人士交流经验和探讨最佳范例。	49	147
新闻部演示新的联合国新闻中心网站，主管传播和新闻事务副秘书长出席	32	96
第8191号共和国法规定建立全国糖尿病委员会，以实施政府关于防止和控制菲律宾糖尿病问题的举措。	47	133
法院现在正正处于其运作的司法阶段的开端，涉及实地运作和审判室诉讼。	33	99
我喜欢自然的东西	8	24
考虑到习惯国际法在国际法的每个领域以及在国家惯例中具有多种发展和形成模式，必须预先决定国际法委员会是否应统一整个国际法律制度中的习惯国际法形成和证据程序。	77	231
安理会第689(1991)号决议注意到,只有安理会的决定才能够结束该观察单位的任务,因此安理会应每六个月审查伊科观察团应结束或继续的问题,以及其作业方式。	77	207
烦死人了	4	12
发传单为什么会被捕呢	10	30
-你一定很爱大奶,罗尼	11	29
-我们已经在尽我们最大的努力了 保罗	17	49
资料中应说明哪些政府部门和机构参与了编写工作，参与的性质和程度以及报告是否经政府通过并提交了议会。	49	147
后门关好!	5	13
好了 再说一遍 我们不是亲兄妹	13	39
此外， " 通信和知识管理服务 " 方案还为执行秘书的Twitter账户撰写和发布文章。	40	102
16. 儿童权利	7	15
2001年至2004年期间，农业年平均增长率达到4.05%。	30	64
该审查2002年3月7日宣布，以便根据《人权法》实施经验、联合王国现有救济的利用情况及欧盟其他成员国的法律和实践来评估联合王国对待国际人权文书的立场。	75	213
你发现了吗？ 我们连一半都没拍完	15	45
对儿童、妇女尤其是女孩的保护在紧急情况下仍然缺乏足够的保障，其中一部分原因是缺乏执行保护措施的国际资金。	52	156
根据经济增长框架中采取的方式，旁遮普省政府正在采取多种政策措施，将职业培训和就业促进方案扩大至所有区。	51	153
还是那个烟囱清扫工似的疯子说了算	16	48
克莱尔 他进来了！	8	24
联合国秘书处持一年或一年以上合同的《工作人员细则》100号编工作 人员分析	36	102
去你的。 你可能想要 检查一下那个电车难题	19	57
所以你只需要大声快速地讲话就行	15	45
首先，所有国家都应按时支付捐款；其次，期望和任务规定应当切合实际；第三，必须高效率地落实改革和伙伴关系。	52	156
Halperin-Kaddari女士问，是否如对议题和问题清单中关于宗教法和习惯法的问题的答复所指出的那样，对男子所娶妻子的数量仍然没有限制，并且没有规定最小结婚年龄。	84	220
-感觉超好吃	6	16
尚未颁布《改进没收实施程序刑法和刑事诉讼法修正案法》草案，尽管过去它已获得国际专家的普遍认可。	47	141
好的长官 我现在就过去	10	30
7. 首次抽签后批准或加入《公约》的国家将在第一个审议周期第四年开始得到审议。	38	110
但我们得找个合适的人来做	12	36
我的副特别代表重申联伊援助团可以进行斡旋，协助伊拉克与前政权成员取得联系；那些人可能掌握相关信息，但不便与伊拉克政府配合。	61	183
踢腿 往后收 这样才对嘛	10	30
酒就是我陷入此困境的罪魁之一	14	42
在这方面，委员会感到鼓舞的是，批准的法案已于2010年12月提交国会紧急审议。	39	105
我是在加州伯克利市冥想的萨满治疗师	17	51
在最近对约旦牧场管理工作所做审评中，农发基金表示，仍然需要 " 明确土地占有制度和资源所有权 " (IFAD, 2003b)。	58	146
农村妇女自营家庭工业信托机构是促进贫困妇女社会经济发展的自治组织，其活动包括动员、组成团体、提高社会意识、技能发展培训以及通过信贷支持自主经营。	72	216
想聊聊 在帮你煮咖啡	9	27
还根据这项法律执行了公务员行为守则。	18	54
我呢，我要蹲15天牢	10	26
哥们找你来了	6	18
(d) 指定具体的 " 统一制度 " 海关编码;	19	45
号码没错?	5	13
租赁安排也逐一作了审查，以便将租金部分与其他维护费用分开，支持进行单独核算。	38	114
不错 邓普顿家	6	18
优惠幅度被不断削减，特别是在一些国家为避免负面差别待遇而不是为获得优惠市场准入加入区域贸易协定的情形中。	52	156
你带上一朵玫瑰 到我爸家去接我？	15	45
不 不只是你 医生	7	21
(c) 联合国大会第61/197号决议；	19	39
联索政治处还推动就过去侵犯人权行为的记录和过渡时期司法进行了讨论，以提高对各种方法和模式的认识。	48	144
让我们看看你们能否在二十分钟之内 赶到法兰克南部	23	69
35. 减灾战略秘书处通过百万安全学校和医院举措，与社区、民间社会组织、各国政府和私营部门合作，让学校和医院不受灾难影响，这一举措已收到20多万个安全承诺。	77	221
271年逝世	6	12
巴拉萨哈巴 我们应该联合起来	13	39
德默泽尔 让里奥斯将军包围端点星 给他派去辅助星的飞船作为援助	29	87
听了你的曲子... ...他们都不想活了	19	45
- 货币转账业务，包括电子转账；	15	43
最大的难民潮发生在非洲。	12	36
20. 非员额资源在支出的通信类别项下出现未使用余额，其主要原因是：根据联合国驻非洲联盟办事处第一年业务出现高空缺率的情况，商营通信使用的无线服务(手持装置、移动电话和卫星电话)以及座机的长途电话和传真机的使用降低。	107	311
* 《老年及残疾养恤金法》（第18章）；	19	51
现在我有了自己的地盘我可不会让任何人给我捣乱	22	66
我宁愿撕了画揩屁股也不给你	13	39
一个关于和解的舞台剧最近开始进行全国巡回演出。	23	69
沙姆谢尔·乔杜里(孟加拉国)*	15	38
履行机构注意到环境基金提交缔约方会议的报告(FCCC/CP/2001/8)。	38	82
但是首先, 司法部 报告使惊慌上升... ... 中毒谋杀的数字。	29	73
行动电话使用者的人数从1999年4.91亿人 -- -- 已经是一个相当大的数字 -- -- 增加到2001年底的9.5亿人。	57	125
68. Hannesson先生（冰岛）说，两性平等是冰岛在国家和国际一级的优先项目之一。	43	105
至于担任市镇顾问的妇女，其人数不多。	18	54
4.1 2001年8月3日，缔约国称来文不应予以受理，因为提交人在两项申诉中没有用尽可利用的国内补救办法。	52	138
联利特派团账龄超过一年的应收未收款数额为434 921美元，占截至2010年6月30日应收款总额的9%。	51	123
规定预算部门员工的工资根据付出的工作时间获取。	23	69
不然会是谁的？	7	21
其实我们要为学生会会报做个采访	15	45
所需资源(重计费用前)：5 750 600美元	21	45
此外，我们在2005年发出的信息是向前迈出的一步，有助于使人类良知倾注于将尊重生命、正直和尊严置于其价值观核心位置的文明形式。	63	181
她抢走了！	5	15
* 确保机场和航班安全及其他交通工具安全的国际标准得到遵守。	29	85
人事费：依然遵循财务条例第4.2(b)条和第4.2(c)条的规定；	33	75
你和其他的女人一样.	10	28
为特派团工作人员，包括实务科室的文职人员举办40次与全球定位系统、地理信息系统和地图有关的培训	47	137
101. 鉴于涉及到财政和组织问题，应该认真审议在两个地点设立全球服务中心的提议。	40	112
35. 协理署长指出,开发计划署将致力于把各代表团在本届会议上提出的意见纳入明年的报告内。	44	124
王群先生(中国)：谢谢主席先生。	16	44
35. 共同国家评估还指出，基里巴斯社会没有充分承认儿童要求尊重他们意见的权利。	39	111
他拿着什么跑呢？	8	24
我很抱歉，克洛伊。	9	27
据地图勘察估计，126公里的公路需要排雷，293公里的公路需要核查，大约187个界碑地点需要排雷与核查。	52	138
5. 关于本条第4款，缔约国应[执行][采取]措施，防止任何种类的虚设公司和法律实体对司法机关或银行金融系统隐瞒包括资金在内的资产的[真正所有人]的身份和交易的[真正受益人]的身份。	90	248
你知道我开多慢吗？	9	27
22. 委员会欢迎缔约国在学校系统中开展工作，如每年在全国各地的学校中组织消除暴力周活动，但对缔约国尚未按照委员会以往的结论意见，制定一个全面和协调一致的方案以消除已被广泛接受、对男女角色所持的陈规定型看法深表遗憾。	107	315
你同事的状况到底是个什么阶段了?	16	46
今年也是1994年于贝宁维达启动的教科文组织贩奴之路项目二十周年，该项目决定打破对贩卖奴隶和奴隶制的沉默。	53	151
8. 应作出进一步努力，从经济上提出对环境可持续性的投资理由。	30	86
主席团讨论了该决定所涉问题，建议委员会在第六届会议上审议这一新的工作方式。	37	111
因此,叙利亚代表团希望那些同内塔尼亚胡先生见过面的人坚持要以色列尊重国际法和遵守联合国有关的决议。	49	145
所谓 " 科索沃境内持续严重违反和侵犯人权和人道主义法的情况 " 、 " 阿尔巴尼亚族裔受到有计划的恐吓 " 、 " 滥肆炮轰,大规模迫使平民流离失所,即决处决和非法拘留阿尔巴尼亚族裔 " 和 " 对这些因科索沃境内危机而被拘留、起诉或审判的阿尔巴尼亚族裔的审判没有通过正当的程序 " ,这些指控既不真实,又带有偏见。	143	405
秘书处要想更好地执行其发现和解决这类问题的任务，就必须加强其分析和研究能力。	38	114
我能听到你的祷告	8	24
2007年：3个团体，包括过渡联邦政府、民间社会成员和国外索马里人	33	89
另外，网络播放小组已经制定了一个全面网站(www.un.org/webcast/unhrc)，提供所有的理事会会议情况，并不断更新。	66	146
一个代表团建议，为便于宣传，最好具体举例说明由于缺乏资金而未能满足的需求。	37	111
鉴于我们历史上就与非洲国家的关系密切，科威特高度重视我们与非洲的伙伴关系以及非洲关切和关心的问题。	49	147
然而，提交人没有进一步要求最高法院处理他根据第40(1)(8)条提出的释放申请，这使得他根据第九条提出的与那个时候之后的拘留有关的指控因未用尽国内补救办法而不可受理。	83	233
大哥 我们一起上去就好了	11	33
自2004年初以来，一个国家研究小组以多种种群为基础进行案例分析，正在进一步推动参考点工作。	46	130
发言人请大会给小组委员会分配必要的资源以召开其与15个候补成员的会议，并尽可能地去实地访问。	46	134
"我们又要起航了 伯特兰坚持将这次航行写进这本书"	24	68
指标进展显示，在本报告所述期间取得积极的成果。	23	69
孩子，来吃棒棒糖	8	24
132. 委员会建议缔约国采取一切适当的措施以便确保，将有关儿童最大利益的原则适当纳入其所有立法和司法以及行政决定以及对于儿童有影响的所有项目、方案和服务之中。	79	229
再来一次 从最开始	8	24
它还为平民，包括农民、牧羊人、游牧者，游客和学生举行了情况介绍和提高认识会议。	39	117
当然, 也有可能是被你吃了	12	34
- 看着点 好吗	6	16
26. 2003年9月，人权高专办出版《联合国和区域组织关于在反恐时保护人权的判例摘要》。	44	116
联合国毒品和犯罪问题办事处解释说，已经提供了一切必要的文件和资料，便利欧洲联盟核查长期未交数额。 但是，尽管联合国毒品和犯罪问题办事处多次提醒，核查程序仍耗时太长，仍未提出最终报告。	90	270
方案的目标包括但不限于下述方面：	16	48
但 他 们 的 计 谋 、 被 扫 罗 知 道 了 。 他 们 又 昼 夜 在 城 门 守 候 要 杀 他	27	81
73. 独立专家在上次的报告中强调必须制订 " 一项合作战略，这项战略更加注重质量而不是数量，它优先考虑恢复平衡，有利于：专业人员，他们通过其专业工作尊重法律和思想独立性，完全有理由认为他们将会成为未来缔造者 " (同上，第63(a)段)。	115	321
大家都在干活	6	18
现在 我要杀了你	7	21
- 和市长？	5	13
得到其外部审计员对于其2008年和2009年财务报表的无条件的(即，有利的)意见，作为国际公共部门会计准则达标单位介绍(其经验和最佳做法见附件四)；八个―― 国际民航组织、海事组织、电联、泛美卫生组织、教科文组织、工发组织、知识产权组织和气象组织――已经引进了国际公共部门会计准则，最初目标定为2010年， 其外部审计员将在2011年内确定它们是否确实已经达标；两个(原子能机构和邮联)预计在2011年实施国际公共部门会计准则；九个(粮农组织、劳工组织、开发计划 署、人口基金、难民署、儿童基金、项目厅、近东救济工程处和卫生组织)在2012年，以及两个(联合国和世界旅游组织)在2014年实施。	294	806
12. 在2009年4月4日巴黎举行的行政首长协调会春季务虚会上，协调会成员详细讨论了危机的各个层面，并研究了联合国系统可能采取的对策。	67	183
6. " 研究 " 所载结论和建议决定了特别代表的工作议程。	26	70
这些年来，联合国一直是当代国际关系的框架。	21	63
罗云·威廉斯	6	17
他不死王宝就会脱身	9	27
关于艾滋病毒／艾滋病的报告会。	15	45
我只是担心一切会毁于一旦	12	36
在过去三年中，我们使140万受到排斥或退学的儿童重新回到社会生活中。	34	96
原来是这样	5	15
小心小心小心	6	18
然而，希族塞人行政当局甚至不能容忍在塞岛上居住了几百年的土族塞人使用其母语土耳其语的地名。	45	135
我需要的恰恰相反	8	24
84. 鉴于这场危机,艾滋病方案共同赞助组织委员会于1998年4月核可了非洲防治艾滋病毒/艾滋病伙伴关系。	52	136
国际法委员会关于水道和赔偿责任的工作强调了它采取一般性的手段、而不采取针对特定资源(例如水、石油和煤气、矿物、生物资源)的着手方式来制订规范或指导方针的能力。	79	233
